日期,版本,事件Id,事件名称,消息数量,独立用户数
2020-11-15,null,Character.to,收藏的人物.跳转,4,2
2020-11-15,null,Login.onTips,登陆.配置提示,4,2
2020-11-15,null,Rakuen.onGroupMenuPress,超展开.小组菜单点击,4,2
2020-11-15,null,Assist.submit,辅助登陆.提交,4,2
2020-11-15,null,TOverview.tabsChange,热门榜单.标签页切换,4,3
2020-11-15,null,Topic.doTranslate,帖子.翻译内容,4,2
2020-11-15,null,Topic.toggleFilterFriends,帖子.好友相关,4,1
2020-11-15,null,RakuenSetting.switch,超展开设置.切换,5,5
2020-11-15,null,Rakuen.topRightMenu,超展开.右上角菜单,5,4
2020-11-15,null,Zone.topRightMenu,空间.右上角菜单,5,5
2020-11-15,null,Mine.to,我的小组.跳转,5,2
2020-11-15,null,LoginV1.onOtherPage,授权登陆.乱逛,5,5
2020-11-15,null,Browser.onSelect,索引.类型选择,5,4
2020-11-15,null,Rating.toggleFilter,用户评分.切换类型,5,3
2020-11-15,null,Tag.onAirdateSelect,用户标签.年选择,6,3
2020-11-15,null,TSacrifice.toggleUsers,资产重组.展开收起董事会,6,3
2020-11-15,null,Topic.setFavor,帖子.设置收藏,6,4
2020-11-15,null,LoginV1.onSuccess,授权登陆.成功,6,6
2020-11-15,null,Characters.to,更多角色.跳转,6,4
2020-11-15,null,Setting.logout,设置.退出登陆,6,6
2020-11-15,null,Comic.searchImages,漫画.搜索图片,6,3
2020-11-15,null,Works.onOrderSelect,作品.排序选择,6,4
2020-11-15,null,Group.prev,小组.上一页,6,3
2020-11-15,null,Comic.init,漫画.初始化,6,4
2020-11-15,null,Subject.toggleReverseEps,条目.章节倒序,6,3
2020-11-15,null,Catalog.to,目录.跳转,6,2
2020-11-15,null,Friends.to,好友.跳转,6,5
2020-11-15,null,TNew.tabsChange,新番榜单.标签页切换,7,2
2020-11-15,null,Comic.searchEps,漫画.搜索章节,7,3
2020-11-15,null,Mono.topRightMenu,人物.右上角菜单,7,5
2020-11-15,null,Anime.scrollToTop,Anime.到顶,7,2
2020-11-15,null,TIndex.bonusHoliday,小圣杯.节日福利,7,7
2020-11-15,null,Browser.onAirdateSelect,索引.年选择,7,5
2020-11-15,null,Group.next,小组.下一页,7,2
2020-11-15,null,Timeline.say,时间胶囊.新吐槽,7,4
2020-11-15,null,User.onOrderSelect,我的.排序选择,8,5
2020-11-15,null,TSearch.to,人物直达.跳转,8,3
2020-11-15,null,Login.onSelect,登陆.切换域名,8,5
2020-11-15,null,TCharaAssets.topRightMenu,我的持仓.右上角菜单,8,6
2020-11-15,null,Mono.imageView,人物.封面图查看,8,7
2020-11-15,null,Rank.doSearch,排行榜.页码跳转,8,5
2020-11-15,null,Wenku.to,文库.跳转,9,2
2020-11-15,null,Subject.doTranslate,条目.翻译简介,9,3
2020-11-15,null,TIndex.authFail,小圣杯.授权失败,9,4
2020-11-15,null,Blog.to,日志.跳转,9,7
2020-11-15,null,Subject.doEraseCollection,条目.删除收藏,10,5
2020-11-15,null,Zone.toggleSection,空间.展开分组,10,4
2020-11-15,null,TValhall.onFilter,英灵殿.筛选,10,1
2020-11-15,null,Subject.doEpsLongPress,条目.章节按钮长按,11,5
2020-11-15,null,Works.onFilterSelect,作品.职位选择,11,6
2020-11-15,null,Tags.tabsChange,标签索引.标签页切换,11,3
2020-11-15,null,TNew.to,新番榜单.跳转,13,2
2020-11-15,null,TSacrifice.toggleTemples,资产重组.展开收起圣殿板块,13,7
2020-11-15,null,Calendar.switchLayout,每日放送.切换布局,13,3
2020-11-15,null,TRich.to,番市首富.跳转,13,4
2020-11-15,null,Rank.onFilterSelect,排行榜.筛选选择,14,7
2020-11-15,null,Voices.onFilterSelect,角色.职位选择,14,2
2020-11-15,null,UserTimeline.mosaicTilePress,时间线.点击瓷砖,14,3
2020-11-15,null,TOverview.to,热门榜单.跳转,14,4
2020-11-15,null,TRich.tabsChange,番市首富.标签页切换,14,5
2020-11-15,null,Character.tabsChange,收藏的人物.标签页切换,14,5
2020-11-15,null,Subject.doUpdateBookEp,条目.更新书籍章节,15,4
2020-11-15,null,Rating.tabsChange,用户评分.标签页切换,15,4
2020-11-15,null,TAdvanceSacrifice.to,献祭推荐.跳转,15,3
2020-11-15,null,Search.onLegacySelect,搜索.切换细分类型,15,12
2020-11-15,null,Rank.onAirdateSelect,排行榜.年选择,16,5
2020-11-15,null,Rank.onTypeSelect,排行榜.类型选择,16,11
2020-11-15,null,Rank.toggleList,排行榜.切换布局,17,6
2020-11-15,null,TValhall.to,英灵殿.跳转,18,4
2020-11-15,null,Calendar.to,每日放送.跳转,18,8
2020-11-15,null,User.topRightMenu,我的.右上角菜单,18,8
2020-11-15,null,Tag.onOrderSelect,用户标签.排序选择,18,9
2020-11-15,null,Topic.showFixedTextarea,帖子.显示评论框,18,6
2020-11-15,null,TSacrifice.toggleLogs,资产重组.展开收起记录,18,6
2020-11-15,null,TIndex.authSuccess,小圣杯.授权成功,19,18
2020-11-15,null,TTree.onTypeSelect,资产分析.选择范围,20,2
2020-11-15,null,TSearch.doSearch,人物直达.搜索,21,12
2020-11-15,null,Topic.scrollTo,帖子.楼层跳转,21,15
2020-11-15,null,Voices.to,角色.跳转,23,1
2020-11-15,null,Other.theme,其他.切换主题,24,8
2020-11-15,null,TDeal.switchIsIce,交易.切换冰山,24,10
2020-11-15,null,TTree.onCaculateTypeSelect,资产分析.选择计算类型,25,4
2020-11-15,null,User.toggleList,我的.布局选择,26,6
2020-11-15,null,TTemples.to,最近圣殿.跳转,26,4
2020-11-15,null,Topic.doReply,帖子.回复,26,11
2020-11-15,null,Works.to,作品.跳转,26,10
2020-11-15,null,TIndex.bonusDaily,小圣杯.每日签到,27,19
2020-11-15,null,TTopWeek.refresh,每周萌王.刷新,28,7
2020-11-15,null,Tags.to,标签索引.跳转,29,6
2020-11-15,null,Zone.to,空间.跳转,29,12
2020-11-15,null,TBid.tabsChange,我的委托.标签页切换,30,8
2020-11-15,null,LoginV1.onLogin,授权登陆.登陆,30,18
2020-11-15,null,TTree.refresh,资产分析.刷新,31,6
2020-11-15,null,TICODeal.to,ICO交易.跳转,31,10
2020-11-15,null,Subject.imageView,条目.封面图查看,33,17
2020-11-15,null,User.onSelectSubjectType,我的.类型选择,33,16
2020-11-15,null,TIndex.bonusWeek,小圣杯.每周分红,34,27
2020-11-15,null,TSacrifice.rate,资产重组.股息查看,37,10
2020-11-15,null,TDeal.showTime,交易.显示时间,38,8
